participant,path,b_n_valid,b_n_probe_0,b_n_probe_1,b_median_hA_over_hB_all,b_median_hA_over_hB_probe1,b_mean_loss_probe1,b_mean_acc_probe1,a2_mean_loss_probe0,a2_mean_acc_probe0,a2_mean_loss_probe1,a2_mean_acc_probe1,a2_loss_gap_p1_minus_p0,has_core_comms_keys,run_folder,run_folder_path,task_similarity,study_cohort
study1_near_sub23,sim_study1_near_sub23.npz,12000,6000,6000,1490.66943359375,0.00030907857581041753,0.009035594761371613,0.994904637336731,0.0003476340789347887,0.9998441338539124,0.17096354067325592,0.7887446880340576,0.17061590659432113,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,near,study1
study1_near_sub24,sim_study1_near_sub24.npz,12000,6000,6000,1507.192626953125,0.0003185440436936915,0.008381383493542671,0.9967153072357178,0.0003997997846454382,0.9995874166488647,0.14054249227046967,0.9692922234535217,0.14014269248582423,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,near,study1
study1_near_sub26,sim_study1_near_sub26.npz,12000,6000,6000,1579.6917724609375,0.00032320141326636076,0.008669034577906132,0.995637834072113,0.0003599002375267446,0.999742865562439,0.16457855701446533,0.8553383946418762,0.1642186567769386,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,near,study1
study1_near_sub30,sim_study1_near_sub30.npz,12000,6000,6000,1231.0059814453125,0.00027180055622011423,0.00840630941092968,0.9963010549545288,0.0003428335185162723,0.9998927116394043,0.1590050905942917,0.825701117515564,0.15866225707577541,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,near,study1
study1_near_sub31,sim_study1_near_sub31.npz,12000,6000,6000,1540.9671630859375,0.00027981578023172915,0.008496696129441261,0.99472576379776,0.0003595019516069442,0.9997319579124451,0.1725848764181137,0.8025060892105103,0.17222537446650676,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,near,study1
study1_near_sub32,sim_study1_near_sub32.npz,12000,6000,6000,1440.1693115234375,0.00022226935834623873,0.008845249190926552,0.995455265045166,0.00040493294363841414,0.9995191097259521,0.17729894816875458,0.8016154766082764,0.17689401522511616,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,near,study1
study1_near_sub33,sim_study1_near_sub33.npz,12000,6000,6000,1392.42333984375,0.00025279217516072094,0.00826792698353529,0.9959948658943176,0.0003966999938711524,0.9996148943901062,0.1562376171350479,0.846187174320221,0.15584091714117676,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,near,study1
study1_near_sub34,sim_study1_near_sub34.npz,12000,6000,6000,1255.135986328125,0.0003141140623483807,0.008633960038423538,0.9959671497344971,0.0003519452875480056,0.9998044967651367,0.14452089369297028,0.893686056137085,0.14416894840542227,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,near,study1
study1_near_sub35,sim_study1_near_sub35.npz,12000,6000,6000,1362.2344970703125,0.00027375479112379253,0.008180322125554085,0.9966809749603271,0.0003624510718509555,0.9998040199279785,0.14744800329208374,0.9549986720085144,0.14708555222023278,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,near,study1
study1_near_sub36,sim_study1_near_sub36.npz,12000,6000,6000,1461.314697265625,0.000334812153596431,0.009744781069457531,0.9942432641983032,0.0003620800271164626,0.9997221827507019,0.1613548845052719,0.8119505047798157,0.16099280447815545,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,near,study1
