participant,similarity,phase,pathway,var_topk,n_pcs_90,n_pcs_99,run_id,condition_name,routing,dim_hidden,init_scale,log10_init,participant_run
sim_study1_near_sub2,near,post_A,combined,0.39941936505317355,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub2
sim_study1_near_sub2,near,post_B,combined,0.39941936505317355,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub2
sim_study1_near_sub2,near,post_A2,combined,0.39941936505317355,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub2
sim_study1_near_sub53,near,post_A,combined,0.4325841493741788,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub53
sim_study1_near_sub53,near,post_B,combined,0.4325841493741788,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub53
sim_study1_near_sub53,near,post_A2,combined,0.4325841493741788,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub53
sim_study1_near_sub54,near,post_A,combined,0.4777334459330004,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub54
sim_study1_near_sub54,near,post_B,combined,0.4777334459330004,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub54
sim_study1_near_sub54,near,post_A2,combined,0.4777334459330004,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub54
sim_study2_near_sub71,near,post_A,combined,0.48094222711909734,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study2_near_sub71
