,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20,A_21,A_22,A_23,A_24,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24
A_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012894459068775177,-0.001225908286869526,0.0008433770854026079,-0.00015817326493561268,-4.3458639993332326e-05,-0.0007580778328701854,-0.0009608723339624703,-0.002150601940229535,-0.0011025563580915332,0.00013723529991693795,-0.000660636811517179,0.0020638257265090942,0.0002160023432224989,0.0002920832484960556,-0.0011374345049262047,0.00024167017545551062,-0.001865460886619985,-0.002049393951892853,0.0012309863232076168,-0.0018857979448512197,-0.0005082373390905559,0.00033207557862624526,-1.0992539500875864e-05,0.0006896668928675354,-9.733378101373091e-05
A_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001801204780349508,-3.1131235118664335e-06,0.000821526104118675,0.0003108573146164417,-0.00036746810656040907,0.00015711717423982918,0.0016575277550145984,0.000616174191236496,0.0007982662064023316,-0.0008533113286830485,-0.0014229564694687724,-0.00034165135002695024,-0.0014763803919777274,0.0007686403696425259,-0.0006041728775016963,-0.0007164141279645264,0.00019556544430088252,-0.00015394309593830258,0.0004964762483723462,-0.001725481473840773,0.0011286723893135786,-0.0006395858363248408,-0.0016207104781642556,-0.0006120298057794571,-0.0005241530016064644
A_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007102364324964583,-0.00018495117546990514,-5.8069126680493355e-05,-0.00015159444592427462,0.0008659563027322292,-0.0013537220656871796,-7.938384806038812e-05,0.00030187887023203075,0.0010033078724518418,-0.0009004312450997531,-0.0030712378211319447,0.0007831359980627894,0.00043620169162750244,-0.0002830094890668988,-0.0001033693624776788,-0.0008522484567947686,-0.0011580173159018159,-0.00023076274374034256,0.0015534884296357632,-0.0013707863399758935,0.00030286924447864294,-0.00035962468245998025,0.000797498389147222,-0.0014467567671090364,0.0007420048932544887
A_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009813508950173855,-0.00035722347092814744,0.0005344399833120406,-0.0004411825502756983,-0.0008224363555200398,-0.0006856715772300959,-0.0010067231487482786,-0.0008988641202449799,-0.00018841034034267068,0.0004578687949106097,-0.001631766906939447,0.001202983665280044,-0.0002647172659635544,0.0007957863272167742,-0.0005200303276069462,-0.0007640562835149467,-0.00027544403565116227,-0.0008079594699665904,-3.3307282137684524e-05,-0.00031847661011852324,0.0012649097479879856,-0.0004943027161061764,-0.0011364563833922148,-0.0011430492158979177,0.000569847587030381
B_0,-0.0013821269385516644,-0.000613624113611877,0.0005757097969762981,-0.00028882097103632987,-0.0004909197450615466,-0.00011240831372560933,0.001839229604229331,-0.00025118738994933665,-0.0019827773794531822,0.0005658721784129739,0.0008748467662371695,-0.0008045894210226834,-0.0015263683162629604,0.00100050400942564,-0.0008758052717894316,0.0005947949830442667,0.0008303968934342265,0.0007618372328579426,-0.0019287714967504144,-0.00037944302312098444,-0.0014743442879989743,-5.3401978220790625e-05,-0.0014629679499194026,0.0006446171319112182,0.001082451781257987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_1,-0.0017825260292738676,-0.001967063872143626,-0.00017760563059709966,-6.744726124452427e-05,-0.002130910288542509,7.285127594514051e-07,0.0008253630949184299,-0.0006160475895740092,0.0008945917361415923,-0.00020869866420980543,-0.00010792462126119062,0.00018900902068708092,-0.0014212795067578554,-0.0012382721761241555,0.001093287137337029,0.0002986547478940338,0.00046724139247089624,0.0008266978547908366,-0.00028834573458880186,0.00015604632790200412,0.00032316058059222996,-0.00031245683203451335,-0.00024427397875115275,-0.0008491706103086472,0.0008555791573598981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_2,0.0006590617704205215,0.0007542555686086416,-0.00232774019241333,0.0028663105331361294,0.00045525585301220417,0.0009996982989832759,0.0011657160939648747,-0.00011997339606750757,-0.00019165776029694825,-0.0022645837161689997,0.00037187739508226514,-0.0007078724447637796,0.0017676632851362228,-0.0009782288689166307,-0.0017563236178830266,-0.0006793176871724427,-0.002371296752244234,-0.0012881868751719594,0.0004026805399917066,0.00044660476851277053,-0.0018093992257490754,-0.000819435459561646,-2.7329346266924404e-05,-0.0010448188986629248,-0.00028004954219795763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_3,-0.0012996094301342964,3.0074429560045246e-06,-0.00018937519052997231,2.966543888760498e-06,-5.3736268455395475e-05,-0.0020743515342473984,0.0004251436039339751,7.491910218959674e-05,0.00035467572160996497,-0.0001473889424232766,3.5955126804765314e-05,0.0008203013567253947,0.0005531930364668369,0.000372414622688666,-0.0014576464891433716,0.000756608962547034,0.000966731458902359,0.0011353172594681382,0.00019790127407759428,0.0007100286893546581,0.0016344561008736491,-0.00038078599027357996,-0.0010412917472422123,0.00034640994272194803,0.0007956767221912742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_4,7.16360955266282e-05,-0.00047508932766504586,-0.0003154003352392465,-0.0004159709787927568,-0.0006219329661689699,0.00029932003235444427,0.0012005104217678308,9.774351929081604e-05,0.0010771233355626464,-0.00048454265925101936,-0.00015350821195170283,-0.0017791064456105232,-0.00020436088379938155,0.0006964337080717087,0.00045365572441369295,-0.0016529248096048832,-0.0006093144766055048,0.0005213071126490831,-0.0028221728280186653,0.000786350981798023,0.0006160194170661271,-8.177877316484228e-05,0.0005552814691327512,-0.00037475620047189295,0.0017997096292674541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_5,0.0005512137431651354,-0.00013439549366012216,-0.0007112277089618146,-0.0001614321954548359,-0.00047581669059582055,-0.00031770337955094874,0.0011829421855509281,0.00023122270067688078,0.002661166712641716,-0.00010061879584100097,0.0015334229683503509,-0.00010243553697364405,0.0002493897336535156,-0.0008806794066913426,0.00042629241943359375,0.0018819378456100821,0.0012846501776948571,7.014446600805968e-05,0.0008127858163788915,-0.0009296244825236499,0.0008911835611797869,-0.000235071056522429,0.00016208391753025353,0.00054787821136415,0.00203593703918159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_6,-0.0005748825496993959,-0.0006458210991695523,0.0012133604614064097,2.253055754408706e-05,0.0008607398485764861,-0.002006042981520295,0.00028174600447528064,-0.0003973313723690808,-0.0008996879914775491,0.0013347076019272208,-0.0011542460415512323,-0.0002508261241018772,-0.0007872345158830285,0.0008796484908089042,0.0011181981535628438,0.0005987129407003522,0.00031611957820132375,-0.0005955771775916219,0.0003389636112842709,0.0013655873481184244,0.0006166422390379012,0.0002178749127779156,-0.0011391270672902465,0.001249050023034215,0.0001613775093574077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_7,7.835209544282407e-05,-0.00045555696124210954,-0.00033226291998289526,-0.0003084558411501348,-0.0008796863839961588,-0.00026930804597213864,-0.0004253251536283642,8.328171679750085e-05,-0.0001349455415038392,-0.00023110599431674927,-0.00036354977055452764,-0.0021339692175388336,-0.000647964421659708,0.0009925082558766007,-0.00075726950308308,0.0011550040217116475,7.174323854997056e-07,-0.0004689933266490698,0.0011871102033182979,-0.0003040994342882186,0.0006927227368578315,0.001987496390938759,0.0012098681181669235,-0.0007145132985897362,0.00018476125842425972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_8,-0.0001545980921946466,0.00022776477271690965,3.718739026226103e-05,0.0004183385462965816,-0.001762653817422688,-0.0006430931971408427,-9.134342690231279e-05,0.0012300232192501426,-0.0018766755238175392,0.0008031430188566446,-0.0007174493512138724,-0.0009077154099941254,0.0002744889643508941,-0.00017553113866597414,-0.0012503593461588025,-0.0011812456650659442,0.0011132508516311646,0.00035110602038912475,-0.0011397857451811433,-0.0012544170022010803,-0.0004862125206273049,-0.00043681071838364005,-0.0017205552430823445,0.00022493944561574608,0.001633930136449635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_9,-0.0031192025635391474,-0.0006312304176390171,0.0008947550668381155,0.0003496733552310616,0.0001240574347320944,-0.0006541695329360664,0.0008778782212175429,-0.0007428129902109504,-0.0005704757641069591,0.0015107252402231097,-0.0007338108844123781,0.0006406333995983005,-0.0007717733969911933,-0.0033782084938138723,-0.0005468000308610499,-0.0013126854319125414,0.001567990519106388,-0.00020982864953111857,0.0004919036873616278,-0.0007524456596001983,0.0005772922304458916,-0.0012314094929024577,-4.143122714594938e-05,-0.0018167267553508282,-0.00012774657807312906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_10,0.000744740420486778,0.0002967262698803097,0.0014265960780903697,-0.001608896884135902,-0.00026550039183348417,-0.0011321860365569592,-0.00018509314395487309,0.0013005882501602173,-0.0004417722229845822,0.0007323852041736245,-0.0002789963618852198,0.0010045267408713698,0.000630713242571801,-0.00039391382597386837,0.00045820465311408043,-0.00047252397052943707,-0.0004699710989370942,-0.0016465949593111873,0.0012515205889940262,-0.0001651385537115857,0.0007875505252741277,-0.0004516500048339367,0.000855461519677192,0.0007456308230757713,0.001988071948289871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
