participant,condition,study,A_rule,B_rule,A_weight_A1,kappa_A1,A_weight_B,kappa_B,A_weight_A2,kappa_A2,A_LL_B,B_LL_B,A_LL_A2,B_LL_A2
study1_far_sub52,far,1,2.43456,-0.707033,0.9967347971493815,2.333769480238034,0.00029592908150294497,4.358380808865386,0.07144389764242363,0.8432606186083993,-159.28871282547573,-40.86136037359058,-145.892951678748,-102.96200452139713
study1_far_sub53,far,1,-1.6876869999999997,1.453906,0.5821276151290462,1.5095050867033726,0.20650703045247545,4.8926016182542424,1.156063662881684e-20,15.281377369530748,-143.9733185559706,-78.19547318353943,-182.42983950265912,-4.372078172246832
study1_far_sub54,far,1,-2.232955,0.908638,0.98411645902733,2.322316265584527,0.09255666451142132,5.292853163492966,0.9337630514466425,4.838910631338205,-151.8436103141323,-63.73515956877402,-64.9414174210267,-171.12016711651773
study1_far_sub55,far,1,2.564648,-0.576944,0.9976190256260259,2.361008726016407,1.717294324578953e-85,96.57693083060317,0.9972984281878526,2.4238788657955705,-165.70443382196493,46.635609683110225,-68.38410669834448,-169.75315989729185
study1_far_sub56,far,1,1.843574,-1.298019,0.14250027019029143,0.19260133968505985,0.18106868720020317,0.23935280223605662,0.7011197990858212,0.6611563145156313,-116.86310804366278,-107.10636352467576,-116.60777225332879,-132.24719723942565
study1_far_sub57,far,1,1.788678,-1.352915,0.8533517131218432,5.048488040025612,7.511133003186162e-20,15.182142538558919,0.5940232510478902,3.841880612844747,-164.17488888609145,-4.11721358298991,-114.77787685541452,-134.07709695682757
study1_far_sub58,far,1,2.3051169999999996,-0.836476,1.0,10.722836186346054,7.852560329814141e-18,23.579825446894198,0.9864866447887959,1.2530586683752762,-164.82699961880974,8.115984011689957,-92.07271134215648,-156.17141715883258
study1_far_sub59,far,1,-2.422888,0.7187039999999999,0.9854401753211032,1.560173449348301,5.34261104094348e-09,16.535599984559806,0.11393573796114849,0.032697590605990916,-164.32554893789649,-1.7307539635204399,-125.56742814810202,-123.28757904176364
study1_far_sub60,far,1,2.411884,-0.729708,0.9908565598401398,2.109998285631126,0.032327455116563535,2.266142964074524,0.999999776779545,2.607261792217685,-150.2541566639397,-67.18218580943066,-65.26082178828263,-170.9981617472705
study1_far_sub61,far,1,1.135463,-2.00613,0.6691379559035951,2.3470577245386495,0.1519316312713381,2.3563892156470585,0.6991451339210799,3.8423035430089802,-139.82679865043502,-83.76113940947441,-97.79124475727075,-151.06321512955145
study1_far_sub62,far,1,2.611676,-0.529917,0.961310538268387,2.8493643097764867,3.0205991972606035e-07,3.0401618431056256,0.9999999999750518,3.683788375354556,-155.88194306982678,-53.15721551063961,-51.60248900469953,-175.43690573402745
study1_far_sub8,far,1,1.779707,-1.361886,0.7452050185823519,2.103244422246175,0.3142606859179701,5.520026382743764,0.5710248670603946,4.814427357089871,-131.65341507776617,-92.31606039138406,-113.47547247676592,-135.37949968308791
study1_far_sub9,far,1,2.182414,-0.9591790000000001,0.8768666841624868,1.6118751915379257,0.10993356922581354,3.9270131612862804,0.9593262478464996,1.7899242187352231,-150.17739172067184,-67.34062682610218,-84.30132725523961,-161.64470500739574
study1_near_sub1,near,1,2.296929,1.773331,0.9958611481948537,1.3003074210997192,0.9406811835515001,0.5009749216580492,0.9162268326198502,0.9848638061986109,-98.40698544952653,-108.79828680328842,-97.75207088115366,-106.59121204418527
study1_near_sub10,near,1,-1.864425,-1.340826,0.10143907242588408,0.2041915170738885,0.2245237565611954,0.07686784082814906,0.3753321410678327,7.353780014885629e-16,-111.54679686411413,-109.52901633287959,-128.79373774524478,-125.28730560487608
study1_near_sub14,near,1,-1.071069,-0.54747,0.5515761733622089,19.61780390151254,4.749243609300364e-05,56.71767154908653,0.11579221143123687,54.538845382040456,-49.55435043729711,32.1630513791198,-46.15060746775136,14.025590787341105
study1_near_sub15,near,1,1.440423,0.916824,0.07172370425798572,0.5825058562791835,0.05874346758414136,2.2000532619693773,0.7616880328622858,5.788133628634332,-76.59341079811249,-64.74906473530991,-42.34965076153111,-53.445909605323855
study1_near_sub18,near,1,1.812028,1.288429,0.9251378356520811,0.553850058465312,0.1013484380245208,27.66197876822567,0.4009030273150227,21.56831643659071,-30.78414403868901,-3.821493801618019,-15.632798308813975,-9.471312312509738
study1_near_sub2,near,1,-2.347481,-1.823882,0.9990232634783991,1.6538072610511034,0.23899016162440137,2.3620968931970374,0.9556945047428405,6.246764045172182,-67.51466769535998,-64.3134613824246,-33.05015621883016,-59.033756980215216
study1_near_sub21,near,1,1.136888,0.613289,0.9346688475361178,4.227742977500215,0.014545338269504725,23.09694498953745,0.9926947788414933,42.08706445647841,-21.555237635577004,6.858700705887836,25.269398345417752,-36.33936478564329
study1_near_sub23,near,1,-2.109017,-1.585418,0.9808533011043514,0.7226724121074558,0.5972179626125241,1.668866519096053,0.9330146921007465,0.4103623458918861,-75.74718942959717,-76.44822596608543,-111.86099748430088,-121.70666176965437
study1_near_sub24,near,1,-1.854114,-1.330515,0.9878201169049574,1.744490124358238,0.16166456634866222,24.431216210272833,0.24354481914506299,22.697266419452127,-26.61336059510401,-0.29743982160403815,-24.474916800579873,-4.1220848264966055
study1_near_sub26,near,1,-1.674546,-1.150947,0.994979832356528,15.267160944028078,0.07182239782134293,6.38795944956984,0.9363549146796104,8.35377096068208,-49.99831844345882,-30.035343182872857,-23.263937897012813,-40.6988775902186
study1_near_sub28,near,1,-1.3543379999999998,-0.830739,0.7839884800756366,1.2213681723783087,0.05511544642233571,0.48939847781168666,0.9068590897579593,2.6913918495590536,-110.28650732786238,-98.66856915674092,-65.16430340234967,-76.65035245834493
study1_near_sub29,near,1,-1.6655240000000002,-1.141925,0.999940228479774,48.07228862279333,0.09924353078594092,24.996204324908177,0.9790699654805329,70.47367445900868,-37.89785362943432,0.5449091518432745,35.81911305109126,-42.44651052103028
study1_near_sub30,near,1,2.211564,1.687965,0.9319515629854206,1.7493528766188862,0.29347989229898097,3.121216297467672,0.9584738665120367,3.031901946522778,-61.75335957921294,-56.89564633937448,-59.047172981225444,-81.2988436699573
study1_near_sub31,near,1,1.289197,0.7655980000000001,0.8319401191198329,3.638989164606608,0.03816523393443153,64.36117913947857,0.03138260407988988,42.204297063745386,-38.92227842573414,21.199865397512053,-40.362206404170045,22.121995832730363
study1_near_sub32,near,1,2.421768,1.898169,0.999642169664648,1.91515403875796,0.05198553713359295,4.389857270566161,0.9350990517011036,3.9371229171305743e-16,-63.26012871156133,-41.14252915908955,-132.26749806147632,-146.5510607608541
study1_near_sub33,near,1,1.64394,1.120342,0.908669237760474,0.6455896678848585,0.13551441256813443,5.702961547750435,0.35066843551307453,15.070194209956236,-54.86289428351737,-37.89420458038891,-36.00518439270447,-29.216060312167794
study1_near_sub34,near,1,1.128173,0.604574,0.9994713375919654,25.23135150431959,9.923625937215403e-06,42.064611039297155,5.015727079520591e-12,184.39447517312928,-53.25037754524861,24.009085098226645,-49.8148632192093,71.29432287775218
study1_near_sub35,near,1,2.187951,1.664352,0.9147903631548521,0.563648609945918,0.1951675473136619,0.0056306782843745,0.16952113744612266,0.06508737945017062,-116.71165197185573,-110.65680681035734,-124.31435056193968,-122.17251061788198
study1_near_sub36,near,1,-1.840929,-1.31733,0.9783449245954462,2.7983002528739354,0.006612928374633075,2.3518521789721887,0.988630283839594,3.383962460665237,-85.46665245344356,-62.433650022011044,-54.67161456062272,-84.47923065752396
study1_near_sub37,near,1,1.37739,0.853792,0.928558609266738,4.56765076874512,0.08768304570850534,37.6678401971589,0.00017307046388209845,18.213992657898846,-47.33245788384445,7.054292982557193,-68.02744134568216,1.0694103043446068
study1_near_sub38,near,1,2.605907,2.082309,0.9041558828378635,2.3708129704996037,0.8999903022165503,0.6310572166534701,0.9095691988349643,0.28442304381720773,-95.88383986543609,-98.03921231469435,-115.52242758036311,-122.4425732107961
study1_near_sub39,near,1,1.814623,1.291024,0.9128461592058975,0.713251788546467,0.05512900770216115,0.8673661681631821,0.1096494224519864,1.380468773086781,-95.16929769136581,-90.30827602606418,-93.32771636278588,-89.81094810172686
study1_near_sub4,near,1,1.328828,0.8052290000000001,0.8058633050853741,9.414606042403449,0.10606296565530562,24.871753121128208,0.06290386954988415,71.26811772881726,-21.336631767021466,3.014448737021691,-35.28685823588296,27.93652399685961
study1_near_sub40,near,1,1.545072,1.021474,0.923049877847877,0.20239190551699993,0.00019604450228469304,27.703642617101323,0.9600397948127471,4.462519152097221,-56.59925996226305,12.558294151221403,-44.43007411006355,-68.28984693924355
study1_near_sub41,near,1,1.4266309999999998,0.9030330000000001,0.9243774399941727,0.8309672167643181,0.04572276227574452,3.6785933589288344,0.9612793173574082,2.271655862053727,-66.62321059557829,-46.28723840971288,-70.75393636831862,-91.37838594646252
study1_near_sub43,near,1,1.937315,1.413716,0.9034780815521624,11.075537109610126,0.023341879122743863,9.883205680267555,0.7135876261094846,17.768723915810384,-53.038463807772544,-18.730388672602672,-18.963513153470522,-33.55168044473881
study1_near_sub45,near,1,-1.7957089999999998,-1.272111,0.11124369873871241,0.35662397254000633,0.03872138137979234,3.431404726989542,0.00012034423435929206,11.221418711615744,-66.41691303916231,-48.59786107177082,-74.08599785540378,-14.039954278862862
study1_near_sub47,near,1,-1.309134,-0.785535,0.9691360672427946,2.6088026673406395,0.021403549172535175,35.66331378406222,0.00015480377419262493,45.876896944199515,-50.845718500903295,10.649308763319073,-40.03788408749539,29.303073677022244
study1_near_sub49,near,1,1.662051,1.138452,0.8091619765511848,19.42082342081256,0.06525155391091435,13.361544459326817,0.08100581233861331,5.324626528073422,-42.26796175295802,-14.356807094107566,-61.79231800397781,-41.2831085183062
